;Albert_Leben_des_hl_Ulrich;Dresden_UB_Mscr_F_98_edited;Etterlin_Chronik;Freiburg_UB_Hs__471_edited;Heidelberg_UB_Cpg_116_edited;Heidelberg_UB_cpg_475_edited;Muenchen_BSB_Cgm_568_edited;Oberrheinische_Chronik;Richental_Konzilschronik;Stuttgart_LB_HB_V_22_edited;Twinger_Chronik_1_2_3;Twinger_Chronik_4_5_6;Wolfenbuttel_HAB_Cod_16_17_edited
Albert_Leben_des_hl_Ulrich;1.0;0.0496798943;0.0151088517;0.0595912436;0.0111126687;0.0400249067;0.0591544455;0.9836703949000001;0.0080972224;0.0290061612;0.0606982848;0.0396057971;0.0828109145
Dresden_UB_Mscr_F_98_edited;0.0496798943;1.0;0.020950452;0.1106106424;0.034486119600000004;0.0586993746;0.08792102900000001;0.053583920800000004;0.0079554941;0.0658753908;0.1173175407;0.1080979496;0.21668555920000002
Etterlin_Chronik;0.0151088517;0.020950452;1.0;0.026143796;0.0280527458;0.0180370992;0.045185606100000004;0.0217665124;0.0528256126;0.044591941;0.0200741514;0.0335745019;0.017699524
Freiburg_UB_Hs__471_edited;0.0595912436;0.1106106424;0.026143796;1.0;0.025471197600000002;0.0932532238;0.2323574237;0.0532555701;0.019349039000000002;0.15333526;0.060472995700000004;0.0330213891;0.1347108454
Heidelberg_UB_Cpg_116_edited;0.0111126687;0.034486119600000004;0.0280527458;0.025471197600000002;1.0;0.0249371709;0.0457523041;0.0113499372;0.0087262326;0.0266180019;0.0123244762;0.0112572134;0.023298723
Heidelberg_UB_cpg_475_edited;0.0400249067;0.0586993746;0.0180370992;0.0932532238;0.0249371709;1.0;0.11769867710000001;0.028925798000000003;0.0093101979;0.08140003970000001;0.0391258263;0.0234364401;0.08264544430000001
Muenchen_BSB_Cgm_568_edited;0.0591544455;0.08792102900000001;0.045185606100000004;0.2323574237;0.0457523041;0.11769867710000001;1.0;0.0413767361;0.0282783154;0.2261205355;0.054077667;0.0293945842;0.0974841625
Oberrheinische_Chronik;0.9836703949000001;0.053583920800000004;0.0217665124;0.0532555701;0.0113499372;0.028925798000000003;0.0413767361;1.0;0.024593992800000002;0.0289200649;0.1732393692;0.1041908916;0.064773124
Richental_Konzilschronik;0.0080972224;0.0079554941;0.0528256126;0.019349039000000002;0.0087262326;0.0093101979;0.0282783154;0.024593992800000002;1.0;0.0376512577;0.0098436745;0.011513329800000001;0.007476552500000001
Stuttgart_LB_HB_V_22_edited;0.0290061612;0.0658753908;0.044591941;0.15333526;0.0266180019;0.08140003970000001;0.2261205355;0.0289200649;0.0376512577;1.0;0.022821182000000002;0.0158006246;0.0542451133
Twinger_Chronik_1_2_3;0.0606982848;0.1173175407;0.0200741514;0.060472995700000004;0.0123244762;0.0391258263;0.054077667;0.1732393692;0.0098436745;0.022821182000000002;1.0;0.4255791373;0.1350671125
Twinger_Chronik_4_5_6;0.0396057971;0.1080979496;0.0335745019;0.0330213891;0.0112572134;0.0234364401;0.0293945842;0.1041908916;0.011513329800000001;0.0158006246;0.4255791373;1.0;0.1267065855
Wolfenbuttel_HAB_Cod_16_17_edited;0.0828109145;0.21668555920000002;0.017699524;0.1347108454;0.023298723;0.08264544430000001;0.0974841625;0.064773124;0.007476552500000001;0.0542451133;0.1350671125;0.1267065855;1.0
