;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 0;lant;tusent;starp;zwene;erslagen;lande;hundert;ging;ersten;gefangen;drige;ving;keyser;teil;mahtent;soltent;geton;werent;dag;heinrich;grosser;kirchen;geschriben;gewalt;pfaffen;naht;rot;wise;gemartelt;reht;sprochent;gingent;meister;ritter;etliche;gut;keinen;glouben;bleip;zeichen;dotent;noment;lebete;friderich;karlen;schaden;hies;lip;stet;rote;heisset;um;velde;kume;lag;triere;ungern;fluhent;friden;orden;zehen;vormols;bliben;tent;tun;tode;vingent;schade;au;heilig;keine;berne;ix;gewonheit;streit;wille;bischofe;oben;beiden;vesten;liep;gerwe;buwete;herre;einander;blibent;briefe;belag;jungest;liessent;alten;stetten;strittent;sere;nohe;grap;vihe;verhergetent;grabe;volg
Topic 1;anden;kament;ven;get;ben;ae;zoch;don;eber;machte;siner;anderen;sr;geloben;wolten;wi;sien;are;ach;ns;mn;ee;inen;nn;ol;san;gut;fir;pe;nen;innen;eins;bo;hein;volle;nin;ei;lag;te;king;dene;ster;ho;wilen;gottes;ls;we;ag;geng;hen;dach;ger;em;emn;hi;uid;kem;bis;riche;ken;to;le;ke;widen;wn;ner;gat;has;dien;gt;zen;sas;bracht;par;zie;wise;gewalte;ot;dae;wuchen;go;ll;lass;ia;oich;sir;stund;stan;stett;wort;aben;sen;dez;geburte;erste;lb;lso;ern;vib;end
Topic 2;küning;sas;sancti;vita;ulrici;gotes;herren;bisschof;herre;wand;babest;xi;heiligen;uon;johannes;fil;bischof;vi;gebürt;kint;fün;gote;fuor;keifer;lant;want;begonde;lande;keiser;fas;gotz;ulrich;grave;viii;tot;siner;vii;hatte;beheim;richfet;herzog;ziten;würden;swie;ix;san;groffe;fü;vmbe;brüder;benedictus;äl.ub;küninge;friderich;richset;alfe;vnze;erflagen;phaffen;fo;yon;gewan;gienc;heilige;messe;lüdewig;brahte;ta;erwelt;xv;babeft;jare;machete;lac;riche;helfe;streit;stephanus;leit;adelber;lebte;uz;leo;bereit;sagete;weere;vnder;xii;gesunt;erz;vns;lich;wolten;albrecht;groffen;stete;minne;gregorius;wêre;sinne
Topic 3;wappen;dominus;costentz;herr;küng;herren;episcopus;hertzog;konstanz;bischoff;bapst;chronik;wj;prepositus;konzils;ertzbischoff;rot;gräff;hus;abbas;hanns;concilium;hainrich;ainem;zwen;umm;warend;statt;bäpst;hailgen;ecclesie;zoch;biß;fridrich;münster;stund;hattend;bild;mess;fürsten;hand;johanns;konzil;wb;kommen;sub;rittend;dry;lüt;bottschaft;wi;rait;guldin;glich;habet;archiepiscopus;kain;küngrich;prwost;segen;pfärden;ulrich;obern;cardinalis;mocht;stett;gaistlich;großen;volk;huß;hailger;session;menglich;wölt;ging;conrat;tüch;qui;crütz;ersten;hoff;maister;cum;payern;dero;jacobus;imbiß;non;ad;ainen;konstanzer;the;personis;hieß;episcopos;land;körnen;hg;römischen;usser
Topic 4;stat;wasser;vatter;leben;rich;landen;sun;gebot;ere;gottes;eren;dingen;sterben;vol;engel;enweg;sachen;tempel;usser;wissen;sere;ding;wa;essen;landes;zwo;bas;arm;bringen;weder;grosser;geschriben;alter;rome;lesen;siech;lit;seit;erden;sen;enden;sante;palast;ser;singen;kinde;gebar;ligen;wit;karle;we;worten;hus;fride;loch;lebendig;leo;segen;otten;wisen;gent;lieber;dinen;kinden;begraben;welt;morgens;porten;bette;swert;tier;rechen;tode;berge;sitzen;manne;soltent;armen;dienen;strit;wort;richen;burg;hern;sache;bot;vierde;mine;horte;leit;buch;betten;noe;riche;li;wege;tages;ben;wagen;ro
Topic 5;künig;bobest;rome;gotz;kehser;keyser;römer;ziten;sun;künige;starp;herren;bobeste;richsete;rich;sant;juden;cristen;grosse;volg;capitel;erste;dovon;stette;ueberschrift;volke;frangrich;hobest;kint;satte;alt;laut;sinre;heilgen;brüder;dütschen;one;allexander;heiden;römern;süne;cardinale;lüte;erwelet;ll;vorgenanten;riches;frowe;einre;jerusalem;hienoch;herzoge;frowen;welte;zweites;küniges;bebeste;fü;babilonie;rand;andere;monote;monot;cristenheit;hies;fünf;ludewig;haut;zehant;künigrich;dirte;betwang;keiser;gewan;herre;irme;kehsers;alleine;gemaht;avion;sehlt;welt;adam;strit;mittenander;tode;kriechen;fürsten;badest;karle;wip;riche;menschen;vatter;zwüschent;hievon;to;houbet;gotte;keme
Topic 6;guot;stroszburg;cc;ccc;stette;wenne;tuo;wasz;lant;heilge;kint;zeichen;xxx;herren;inde;gemaht;heren;lùte;brant;losz;wrt;nùt;ac;mo;lxxx;zwischent;bobest;mache;ien;jocop;gesetzet;gebùrte;truwe;nuwe;we;xl;ec;wiltu;dage;enne;erste;mel;grosse;nemen;werde;gotz;strit;ffen;frowen;sieden;bischoff;frouwen;obe;frowe;lot;adam;globe;kunt;bachen;grosz;ko;lossen;cꝭ;bist;mole;bruoder;aso;je;gotte;swebeschen;mie;milch;muter;liebe;lute;guote;griffen;usz;kùnig;bache;leit;einre;vorgotz;biren;niema;mùnster;dù;wor;hinel;dag;globen;wanne;eins;herzogen;reht;helfe;oley;sullent;closter;drie
Topic 7;bapst;kayser;kùng;kung;statt;land;heren;rich;grosz;denn;hiesz;fùrsten;usz;bischoff;volk;andren;ziten;hertzog;guot;amen;sun;inen;romer;tett;gott;ser;recht;tusent;lùt;rom;tent;bruoder;costentz;um;groszen;burg;blatt;soelt;herren;landen;acht;won;stett;zwen;gebott;franckrich;warend;liesz;ter;siner;kilchen;kostlich;hoff;gericht;ainem;frowen;cristan;sechs;monat;ders;zehen;kùngin;mocht;inder;hertzogen;heilig;machet;anno;wers;drù;ten;ꝫcꝭ;hundert;batt;jare;sch;heilgen;richs;starb;mu;hopt;kay;gu;baepst;glouben;wa;nd;satzt;hus;dick;stuond;richt;kirchen;fùrt;kaysers;rent;richsnot;hailgen;lib;dry
Topic 8;bapst;won;wand;land;statt;kung;lande;ûber;zwen;hand;get;zechen;imn;sant;acht;ene;mnit;ddas;vner;wib;non;spnach;hundert;keser;fur;zue;fûr;kug;jare;il;kenser;gemant;wos;guot;starb;koser;ens;alt;heiden;machet;nan;mals;manot;unb;sd;sch;hae;siben;dso;ber;erschlagen;and;kunge;dzer;vol;wab;tod;oin;welte;vole;sar;dor;sane;warnd;sa;spach;dder;ser;landen;solben;tett;nacht;schlagen;gemachet;heren;hade;eo;wor;dn;kome;ûch;dos;ziten;asl;imen;gossen;heen;dio;volk;kilchen;cslie;keiser;volke;vz;pn;vost;kng;bapft;jn;grosse
Topic 9;strosburg;sant;stat;bischof;herren;gotz;stette;künig;closter;herzogen;münster;bürg;herzoge;krieg;peter;frangrich;hier;zogetent;wa;bistum;zürich;kirche;zwüschent;einre;andere;erste;dovor;grosse;one;lüte;zerbrochen;elsas;königshofen;euch;vorgenanten;strasburg;friburg;stelle;kön;lapitel;zwei;juden;fürent;hundert;frowen;johans;bürgere;no;straßburg;strit;stadt;heilge;künige;etwie;dütschen;glefen;gefangen;burg;bischove;solle;gewunnen;landen;welche;unb;gestiftet;helfe;cristen;fünf;gülden;gewunnent;grofe;statt;bürge;dütsche;ignote;stettelin;verbrantent;laut;volg;franken;müstent;enweg;sterbotte;stadtplan;burger;stifte;unter;note;jores;suche;lüten;grofen;fünfte;dernoch;werte;volke;ro;dovon;kriege;mittenander
Topic 10;kùng;babst;kayser;volk;rom;ziten;herren;kung;tu;machte;land;byschoff;grosz;starb;richsete;moyses;guot;lant;mu;bru;hiesz;rich;romer;gena;sun;wa;kint;ru;habst;tett;tusent;denn;gro;gebùrt;satzte;wip;erschlagen;monot;stu;römer;stette;erste;frankrich;haiden;frowen;herre;wasz;röm;bo;tod;mo;balst;gewan;kriechen;ware;lùt;enander;balist;kamen;vij;lte;dry;lande;ho;fro;globen;syn;kament;stryt;siner;nd;je;ssen;gwalt;fu;kùngrich;aien;deen;bst;fùrsten;vorgent;rome;kirchen;gross;vatt;hailig;maister;hatte;ainem;xxx;ram;zwen;ccc;jacob;hann;ainen;naht;lùte;egipten;liesz
Topic 11;sant;land;hand;gottes;starb;kind;tod;welt;zwen;amen;ware;statt;tett;erschlagen;ai;cristen;zoch;mals;pfaffen;tail;kamen;sprachent;stett;nacht;rat;lieb;grab;erwelt;kriechen;ame;gotz;siben;zitten;stund;ainen;diener;kamer;jare;wa;tutschen;gnad;wochen;lich;gemachet;stan;guldin;menschen;kain;wib;wort;hoff;gang;ains;grosser;gesetzt;stetten;graff;zaichen;samen;lan;machtent;dat;dienst;um;bald;werd;lamparten;herlich;hilff;zway;stet;fùnf;ettlich;welte;geborn;volks;ann;gelt;orden;hait;ungern;want;bezwang;zwain;hort;engel;bischoff;no;tochter;ach;volkes;tun;iin;ans;altar;selbs;frid;hannlich;rechten;layen
